second	throughput
0	0.0
10	1991.8400000000001
20	2460.9
30	2472.38
39	2429.33
49	2503.91
59	2470.5
69	2361.78
79	2422.62
89	2422.65
99	2430.13
109	2408.52
119	2446.78
129	2548.1
139	2336.3
149	2456.69
159	2445.2
169	2478.38
179	2393.99
189	2368.36
199	2413.6
209	2423.8
219	2390.7
229	2445.5
233	2180.56
