second	throughput
0	0.0
10	1795.6799999999998
20	2188.67
30	2188.5
40	2183.87
50	2193.4500000000003
60	2121.8
70	2134.8
80	2115.02
90	2127.4700000000003
100	1983.0
110	1774.6
120	1800.58
130	1619.78
140	1668.63
150	1754.7400000000002
159	1785.6399999999999
169	1799.19
179	1788.88
189	1813.8400000000001
199	1741.96
209	1619.5
219	1544.8
229	1545.6
239	1537.13
249	1652.56
259	1602.6
269	1606.06
279	1698.6
289	1615.4
299	1625.62
309	1599.06
319	1630.0
